species,method
Cosmorhoe_ocellata,no_anchor
Crambe_crambe,no_anchor
Crataegus_laevigata,no_anchor
Criorhina_ranunculi,no_anchor
Crocallis_elinguaria,no_anchor
Cryptocephalus_moraei,no_anchor
Cyaniris_semiargus,no_anchor
Cyclophora_albipunctata,no_anchor
Cyclopterus_lumpus,no_anchor
Cydia_amplana,no_anchor
Cydia_fagiglandana,no_anchor
Cydia_splendana,no_anchor
Danio_aesculapii_fDanAes4,no_anchor
Danio_rerio_fDreABH1,no_anchor
Dasypolia_templi,intra_x
Deilephila_elpenor,intra_x
Delphinus_delphis,intra_x
Diacarnus_erythraeanus,no_anchor
Diachrysia_chrysitis,intra_x
Diaphora_mendica,no_anchor
Diarsia_mendica,intra_x
Diarsia_rubi,intra_x
Dicycla_oo,intra_x
Dioctria_rufipes,no_anchor
Diplosoma_virens,no_anchor
Ditula_angustiorana,no_anchor
Dolichovespula_saxonica,no_anchor
Dolomedes_plantarius,no_anchor
Drepana_falcataria,no_anchor
Drepanosiphum_platanoidis,no_anchor
Drosophila_funebris,no_anchor
Drosophila_helvetica,no_anchor
Dryobota_labecula,no_anchor
Dryobotodes_eremita,no_anchor
Dunaliella_primolecta,no_anchor
Dysidea_avara,no_anchor
Ecdyonurus_torrentis,no_anchor
Ecliptopera_silaceata,no_anchor
Ectemnius_continuus,no_anchor
Ectemnius_lituratus,no_anchor
Ectropis_crepuscularia,no_anchor
Eilema_caniola,intra_x
Eilema_depressum,intra_x
Eilema_griseolum,no_anchor
Eisenia_eiseni,no_anchor
Electrona_antarctica,no_anchor
Electrophaes_corylata,no_anchor
Elegia_similella,no_anchor
Eleocharis_quinqueflora,no_anchor
Elophila_nymphaeata,intra_x
Emmelina_monodactyla,intra_x
Endotricha_flammealis,no_anchor
Ennomos_erosarius,no_anchor
Ennomos_fuscantarius,no_anchor
Ennomos_quercinarius,no_anchor
Entoloma_clypeatum,no_anchor
Entomortierella_parvispora,no_anchor
Epinotia_bilunana,no_anchor
Epinotia_brunnichana,no_anchor
Epinotia_demarniana,no_anchor
Epinotia_ramella,intra_x
Epirrhoe_alternata,no_anchor
Epirrhoe_tristata,no_anchor
Epirrita_christyi,no_anchor
Epistrophe_grossulariae,no_anchor
Eptesicus_nilssonii,no_anchor
Erebia_albergana,no_anchor
Erebia_epiphron,no_anchor
Eremobia_ochroleuca,intra_x
Erinaceus_europaeus,no_anchor
Eristalinus_sepulchralis,no_anchor
Eristalis_intricaria,no_anchor
Erynnis_tages,no_anchor
Esperia_sulphurella,no_anchor
Euclidia_mi,no_anchor
Eucosma_cana,no_anchor
Eudemis_profundana,no_anchor
Eudonia_lacustrata,no_anchor
Eudonia_mercurella,no_anchor
Eudonia_truncicolella,no_anchor
Eugnorisma_glareosa,no_anchor
Eulithis_prunata,no_anchor
Eumandya_parva,no_anchor
Eumerus_sabulonum,no_anchor
Eunapius_fragilis,no_anchor
Eupithecia_abbreviata,no_anchor
Eupithecia_centaureata,no_anchor
Eupithecia_dodoneata,intra_x
Eupithecia_exiguata,no_anchor
Eupithecia_insigniata,no_anchor
Eupithecia_inturbata,no_anchor
Eupithecia_phoeniceata,no_anchor
Eupithecia_pulchellata,no_anchor
Eupithecia_subfuscata,no_anchor
Eupithecia_subumbrata,no_anchor
Eupithecia_tripunctaria,no_anchor
Euplagia_quadripunctaria,intra_x
Euplexia_lucipara,no_anchor
Eurois_occulta,no_anchor
Eutreptiella_sp_Long_Island_Sound_2002,no_anchor
Euzophera_pinguis,no_anchor
Falco_punctatus,no_anchor
Fissipunctia_ypsillon,intra_x
Fragaria_moschata,no_anchor
Fragaria_vesca,no_anchor
Fragum_sueziense,no_anchor
Fringilla_coelebs,no_anchor
Gadus_morhua,no_anchor
Galeruca_laticollis,no_anchor
Gallus_gallus,no_anchor
Gandaritis_pyraliata,no_anchor
Gasteruption_jaculator,no_anchor
Geotrupes_spiniger,no_anchor
Globia_sparganii,no_anchor
Glyphipterix_thrasonella,no_anchor
Glyphotaelius_pellucidus,no_anchor
gm12878,no_anchor
Gonocerus_acuteangulatus,no_anchor
Gortyna_flavago,no_anchor
Grus_grus,no_anchor
H1-hESC.no_anchor
Haliclona_indistincta,no_anchor
Halisarca_caerulea,no_anchor
Harpalus_rubripes,no_anchor
Hecatera_dysodea,no_anchor
Hedya_pruniana,no_anchor
Hedya_salicella,no_anchor
Heliconius_congener,no_anchor
Heliconius_sapho,no_anchor
Hemaris_fuciformis,no_anchor
Hemistola_chrysoprasaria,no_anchor
Hemithea_aestivaria,no_anchor
Herminia_tarsipennalis,intra_x
HFF,no_anchor
Hipparchia_semele,no_anchor
Hofmannophila_pseudospretella,no_anchor
Hoplodrina_ambigua,no_anchor
Hoplodrina_blanda,no_anchor
Horisme_vitalbata,no_anchor
Hybos_culiciformis,no_anchor
Hydriomena_furcata,no_anchor
Hydrotaea_diabolus,no_anchor
Hygrocybe_punicea,no_anchor
Hylaea_fasciaria,no_anchor
Hypercompe_scribonia,no_anchor
Hypericum_androsaemum,no_anchor
Hyperoplus_immaculatus,no_anchor
Hypomecis_atomaria,no_anchor
Hypomecis_punctinalis,no_anchor
Hyppa_rectilinea,no_anchor
Hypsopygia_costalis,no_anchor
Ianthella_basta,no_anchor
Icerya_purchasi,no_anchor
Idaea_aversata,no_anchor
Idaea_biselata,no_anchor
Idaea_dimidiata,no_anchor
Idaea_straminata,no_anchor
Incurvaria_masculella,no_anchor
Inga_laurina,no_anchor
Iris_foetidissima,no_anchor
Isothecium_myosuroides,no_anchor
Labia_minor,no_anchor
Labrus_bergylta,no_anchor
Labrus_mixtus,no_anchor
Lacanobia_oleracea,no_anchor
Lacanobia_wlatinum,no_anchor
Lactarius_tabidus,no_anchor
Lampetra_fluviatilis,no_anchor
Lampropteryx_suffumata,no_anchor
Lapara_coniferarum,no_anchor
Larus_fuscus,no_anchor
Lasioglossum_calceatum,no_anchor
Lasioglossum_morio,no_anchor
Lasius_platythorax,no_anchor
Laspeyria_flexula,no_anchor
Lepeophtheirus_nordmannii,no_anchor
Leptographium_flavum,no_anchor
Leptophobia_aripa,no_anchor
Leptopterna_dolabrata,no_anchor
Leucoma_salicis,no_anchor
Limanda_limanda,no_anchor
Limnephilus_auricula,no_anchor
Limnephilus_marmoratus,no_anchor
Limnephilus_rhombicus,no_anchor
Linnaemya_vulpina,no_anchor
Linyphia_triangularis,no_anchor
Lithophane_leautieri,no_anchor
Lithophane_ornitopus,no_anchor
Lithosia_quadra,no_anchor
Lobophora_halterata,no_anchor
Lomographa_bimaculata,no_anchor
Lomographa_temerata,no_anchor
Lucinella_divaricata,no_anchor
Lumbricus_rubellus,no_anchor
Lumbricus_terrestris,no_anchor
Lunularia_cruciata,no_anchor
Luperina_nickerlii,no_anchor
Lutraria_lutraria,no_anchor
Lycia_hirtaria,no_anchor
Lycophotia_porphyrea,no_anchor
Macaria_brunneata,no_anchor
Macomangulus_tenuis,no_anchor
Macropus_eugenii,no_anchor
Madracis_auretenra,no_anchor
Magallana_gigas,no_anchor
Magelona_johnstoni,no_anchor
Malacosoma_neustria,no_anchor
Mamestra_brassicae,no_anchor
Marasmarcha_lunaedactyla,no_anchor
Maratus_michaelseni,no_anchor
Maratus_speciosus,no_anchor
Martes_martes,no_anchor
Marvania_coccoides,no_anchor
Mastigias_papua,no_anchor
Mecyna_flavalis,no_anchor
Megamerina_dolium,no_anchor
Meganola_albula,no_anchor
Melanchra_persicariae,no_anchor
Mesoligia_furuncula,no_anchor
Mesoplodon_bidens,no_anchor
Metalampra_italica,no_anchor
Microchirus_variegatus,no_anchor
Microdon_myrmicae,no_anchor
Micromesistius_poutassou,no_anchor
Micromys_minutus,no_anchor
Micropterix_aruncella,no_anchor
Miltochrista_miniata,no_anchor
Mimachlamys_varia,no_anchor
Miniopterus_schreibersii,no_anchor
Molanna_angustata,no_anchor
Monopis_laevigella,no_anchor
Monopis_laevigella_ilMonLaev2,no_anchor
Montipora_capitata,no_anchor
mouse_matureOSN,no_anchor
mouse_NSC,no_anchor
Muntiacus_reevesi,no_anchor
Muscardinus_avellanarius,no_anchor
Musotima_nitidalis,no_anchor
Myotis_daubentonii,no_anchor
Myotis_mystacinus,no_anchor
Myrica_gale,no_anchor
Mystacides_longicornis,no_anchor
Mythimna_albipuncta,no_anchor
Mythimna_lalbum,no_anchor
Mythimna_pallens,intra_x
Mythimna_vitellina,no_anchor
Neckera_pumila,no_anchor
Nemapogon_koenigi,no_anchor
Nematopogon_swammerdamellus,no_anchor
Neoitamus_cyanurus,no_anchor
Neovison_vison,no_anchor
Nesoenas_mayeri,no_anchor
Netelia_virgata,intra_low
Netta_rufina,no_anchor
Nitzschia_sp._DOCU1,no_anchor
Noctua_comes,no_anchor
Noctua_janthe,intra_x
Noctua_janthina,intra_x
Nomada_fabriciana,no_anchor
Nomada_ferruginata,no_anchor
Nomophila_noctuella,no_anchor
Nudaria_mundana,no_anchor
Numenius_arquata,no_anchor
Nymphalis_c-album,no_anchor
Nysson_spinosus,no_anchor
Ochropacha_duplaris,no_anchor
Ochropleura_leucogaster,no_anchor
Ochropleura_plecta,intra_x
Oegoconia_quadripuncta,intra_x
Oligia_fasciuncula,no_anchor
Oligia_latruncula,intra_x
Oligia_strigilis,no_anchor
Omphaloscelis_lunosa,intra_x
Omphiscola_glabra,no_anchor
Orchesella_flavescens,no_anchor
Orthosia_cruda,intra_x
Orthosia_gothica,no_anchor
Orthosia_incerta,intra_x
Oscarella_lobularis,intra_low
Osedax_fenrisi,no_anchor
Osedax_frankpressi,no_anchor
Osmerus_eperlanus,no_anchor
Oxycera_nigricornis,no_anchor
Pammene_aurita,no_anchor
Pandemis_heparana,no_anchor
Panstrongylus_geniculatus,no_anchor
Parascotia_fuliginaria,no_anchor
Pasiphila_rectangulata,no_anchor
Pelosia_muscerda,intra_x
Peribatodes_rhomboidaria,intra_x
Periphyllus_acericola,no_anchor
Perizoma_affinitatum,no_anchor
Perizoma_blandiatum,no_anchor
Perizoma_flavofasciatum,no_anchor
Petrophora_chlorosata,no_anchor
Petrosia_ficiformis,no_anchor
Phalacrocorax_carbo,no_anchor
Phaonia_tiefii,no_anchor
Philereme_transversata,no_anchor
Philereme_vetulata,no_anchor
Phocoena_phocoena,no_anchor
Phoxinus_phoxinus,no_anchor
Phycita_roborella,no_anchor
Phymatocera_aterrima,no_anchor
Physocephala_rufipes,no_anchor
Pilophorus_perplexus,no_anchor
Pipistrellus_pygmaeus,no_anchor
Piscicola_geometra,no_anchor
Plagiodera_versicolora,no_anchor
Plagodis_dolabraria,no_anchor
Plagodis_pulveraria,no_anchor
Planococcus_citri,no_anchor
Platichthys_flesus,no_anchor
Platycheirus_albimanus,no_anchor
Platycnemis_pennipes,no_anchor
Plecotus_auritus,no_anchor
Plemyria_rubiginata,no_anchor
Pleurobrachia_bachei,no_anchor
Plusia_festucae,no_anchor
Plutella_xylostella,no_anchor
Podarcis_bocagei,no_anchor
Podarcis_cretensis,no_anchor
Podarcis_gaigeae,no_anchor
Podarcis_muralis,no_anchor
Podarcis_pityusensis,no_anchor
Podarcis_siculus,no_anchor
Pollachius_pollachius,no_anchor
Polydrusus_tereticollis,no_anchor
Polymixis_flavicincta,intra_x
Polymixis_lichenea,no_anchor
Polyommatus_iphigenia,no_anchor
Porites_divaricata,no_anchor
Porites_lutea,no_anchor
Porpolomopsis_calyptriformis,no_anchor
Potentilla_anserina,no_anchor
Potentilla_sterilis,no_anchor
Pseudeuparius_sepicola,no_anchor
Pseudorhiza_haeckeli,no_anchor
Pseudoscleropodium_purum,no_anchor
Psittacula_echo,no_anchor
Psococerastis_gibbosa,no_anchor
Pterapherapteryx_sexalata,no_anchor
Pterobdella_sp_o_SKG_2022,no_anchor
Ptilodon_capucinus,no_anchor
Pungitius_pungitius,no_anchor
Pycnococcus_provasolii,no_anchor
Pycnomerus_fuliginosus,no_anchor
Pyralis_farinalis,no_anchor
Pyrausta_aurata,no_anchor
Pyrausta_despicata,no_anchor
Pyrausta_nigrata,no_anchor
Pyrrhia_umbra,no_anchor
Rhingia_rostrata,no_anchor
Rhizosphaera_kalkhoffii,no_anchor
Rhodophaea_formosa,no_anchor
Ripartites_tricholoma,no_anchor
Russula_aff_farinipes,no_anchor
Sabra_harpagula,no_anchor
Sarcophaga_caerulescens,no_anchor
Sardina_pilchardus,no_anchor
Saturnia_pavonia,no_anchor
Schizotus_pectinicornis,no_anchor
Schrankia_costaestrigalis,no_anchor
Scoparia_ambigualis,no_anchor
Scotopteryx_bipunctaria,no_anchor
Scutellaria_minor,no_anchor
Sepioteuthis_lessoniana,no_anchor
Sesia_apiformis,intra_x
Sialis_fuliginosa,no_anchor
Sialis_lutaria,no_anchor
Siderastrea_radians,no_anchor
Sisyra_terminalis,no_anchor
Spisula_subtruncata,no_anchor
Spongilla_lacustris,no_anchor
Stenella_coeruleoalba,no_anchor
Stenichneumon_culpator,no_anchor
Stenodema_calcarata,no_anchor
Stenoptilia_bipunctidactyla,no_anchor
Straminergon_stramineum,no_anchor
Strongylocentrotus_purpuratus,no_anchor
Subacronicta_megacephala,no_anchor
Sycon_ciliatum,no_anchor
Sylvicola_cinctus,intra_low
Sympetrum_sanguineum,no_anchor
Synanthedon_andrenaeformis,no_anchor
Synanthedon_formicaeformis,no_anchor
Synanthedon_tipuliformis,no_anchor
Syritta_pipiens,no_anchor
Tachina_grossa,no_anchor
Tachystola_acroxantha,no_anchor
Tamarix_gallica,no_anchor
Taphrorychus_bicolor,no_anchor
Tethya_californiana,no_anchor
Tetramitus_jugosus,no_anchor
Tetropium_fuscum,no_anchor
Thalassophryne_amazonica,no_anchor
Thalpophila_matura,no_anchor
Theonella_swinhoei,no_anchor
Thera_britannica,no_anchor
Thera_firmata,no_anchor
Thera_juniperata,no_anchor
Thumatha_senex,no_anchor
Thunnus_maccoyii,no_anchor
Thymelicus_acteon,no_anchor
Thymelicus_lineola,no_anchor
Thysanoteuthis_rhombus,no_anchor
Timandra_comae,no_anchor
Tinea_pellionella,no_anchor
Tinea_semifulvella,no_anchor
Tipula_helvola,no_anchor
Triatoma_dimidiata,no_anchor
Tricholoma_hemisulphureum,no_anchor
Trididemnum_miniatum,no_anchor
Trisateles_emortualis,intra_x
Troglohyphantes_excavatus,no_anchor
Tuberolachnus_salignus,no_anchor
Turbinaria_reniformis,no_anchor
Udea_olivalis,no_anchor
Urtica_urens,no_anchor
Venusia_cambrica,no_anchor
Veronica_triphyllos,no_anchor
Veronica_verna,no_anchor
Vespertilio_murinus,no_anchor
Volucella_zonaria,no_anchor
Vulpes_vulpes,no_anchor
Xanthia_togata,no_anchor
Xanthorhoe_designata,no_anchor
Xanthorhoe_montanata,no_anchor
Xestia_ashworthii,no_anchor
Xestia_sexstrigata,intra_x
Xiphydria_camelus,no_anchor
Xylota_sylvarum,no_anchor
Ypsolopha_sequella,no_anchor
